n_bedroom,n_bathroom,n_lantai,luas_tanah,luas_bangunan,sertifikasi,location,price
5,5,2,133,200,SHM,Jagakarsa,2460000000
6,1,1,148,148,SHM,Setia Budi,1100000000
5,4,3,84,200,SHM,Tebet,2100000000
4,3,2,160,190,SHM,Cilandak,3600000000
3,3,1,303,250,SHM,Kebayoran Lama,10500000000
4,5,2,329,400,SHM,Cilandak,7500000000
6,5,2,280,400,HGB,Pesanggrahan,5500000000
3,3,2,134,130,SHM,Pasar Minggu,2800000000
5,5,1,30000,300,SHM,Kebayoran Baru,29999999999
7,6,2,500,536,SHM,Pancoran,17250000000
10,5,2,159,135,SHM,Kebayoran Lama,7500000000
8,4,3,94,94,SHM,Kebayoran Lama,4000000000
3,2,1,132,100,SHM,Pesanggrahan,1480000000
3,4,2,92,147,SHM,Pesanggrahan,2300000000
7,8,2,627,1050,SHM,Kebayoran Lama,59000000000
6,4,3,230,331,SHM,Cilandak,4999999999
6,1,4,160,250,SHM,Kebayoran Baru,5000000000
3,3,1,500,350,SHM,Kebayoran Lama,13800000000
3,2,2,70,72,SHM,Kebayoran Lama,975000000
6,5,2,160,400,SHM,Kebayoran Lama,9250000000
7,2,2,920,370,SHM,Cilandak,11000000000
3,2,2,83,75,SHM,Cilandak,885000000
6,6,2,412,470,SHM,Mampang Prapatan,17500000000
8,6,2,878,650,SHM,Cilandak,25000000000
6,6,2,1248,500,SHM,Pesanggrahan,11500000000
2,1,1,60,30,SHM,Pancoran,30000000
2,1,1,80,50,SHM,Pancoran,632800000
9,7,3,729,700,SHM,Cilandak,15500000000
9,7,2,729,700,SHM,Cilandak,15500000000
2,1,1,60,28,HGB,Kebayoran Baru,179000000
3,2,0,206,160,SHM,Cilandak,4500000000
4,6,2,449,350,SHM,Mampang Prapatan,13700000000
2,1,1,60,28,HGB,Pesanggrahan,179000052
4,4,3,72,105,SHM,Kebayoran Lama,1650000000
4,2,1,183,100,SHM,Cilandak,6200000000
7,7,1,1721,700,SHM,Kebayoran Baru,34000000000
5,4,3,300,300,SHM,Cilandak,7700000000
4,4,2,329,400,SHM,Cilandak,7500000000
3,2,1,89,87,SHM,Pancoran,1690000000
4,2,2,247,270,SHM,Kebayoran Baru,10500000000
10,6,2,1365,900,SHM,Pasar Minggu,16000000000
3,2,2,94,90,SHM,Cilandak,1100000000
5,4,2,210,300,SHM,Cilandak,9000000000
5,3,2,214,250,SHM,Kebayoran Baru,12500000000
5,4,2,226,178,SHM,Cilandak,4650000000
4,3,2,152,125,SHM,Cilandak,3150000000
3,1,1,84,84,SHM,Kebayoran Lama,950000000
4,3,2,120,176,SHM,Pesanggrahan,2500000000
4,3,2,105,115,SHM,Cilandak,1400000000
4,3,2,105,115,SHM,Cilandak,1500000000
6,6,2,1040,800,SHM,Pasar Minggu,8500000000
4,3,2,188,200,SHM,Cilandak,3050000000
3,1,1,80,80,SHM,Pancoran,1100000000
2,2,1,100,85,Lainnya,Pesanggrahan,740000000
4,3,2,105,115,SHM,Pesanggrahan,1500000000
3,3,2,162,130,SHM,Cilandak,3180000000
3,3,2,72,72,SHM,Cilandak,1950000000
3,4,2,330,401,SHM,Cilandak,7500000000
4,4,1,1053,400,SHM,Kebayoran Baru,27000000000
4,3,2,332,403,SHM,Kebayoran Baru,7500000000
3,3,2,334,404,SHM,Kebayoran Lama,7500000000
4,4,2,335,405,SHM,Kebayoran Lama,7500000000
3,3,2,336,406,SHM,Mampang Prapatan,7500000000
3,2,2,120,150,SHM,Cilandak,2400000000
5,3,2,189,300,SHM,Pasar Minggu,5900000000
3,3,2,60,90,SHM,Pasar Minggu,1700000000
4,4,3,180,82,SHM,Pancoran,3200000000
4,5,2,187,250,SHM,Cilandak,6000000000
5,5,2,580,500,SHM,Pasar Minggu,13900000000
6,6,2,170,270,SHM,Kebayoran Baru,180000000
10,7,2,648,400,SHM,Cilandak,13000000000
3,3,2,70,84,SHM,Kebayoran Baru,1600000000
3,3,2,180,217,SHM,Kebayoran Baru,4999000000
3,2,2,178,115,SHM,Kebayoran Baru,1000000000
4,2,2,350,190,SHM,Cilandak,4900000000
8,8,2,864,500,SHM,Kebayoran Baru,70000000000
5,3,1,253,253,SHM,Pesanggrahan,3000000000
4,2,2,79,140,SHM,Cilandak,1975000000
7,7,2,475,350,SHM,Pasar Minggu,9500000000
3,2,2,102,117,SHM,Kebayoran Lama,1800000000
3,3,2,758,600,SHM,Mampang Prapatan,20000000000
6,6,1,250,200,SHM,Kebayoran Lama,1250000000
5,4,2,100,110,SHM,Kebayoran Lama,1350000000
2,1,1,120,40,HGB,Pancoran,345111000
5,2,2,165,110,SHM,Kebayoran Lama,1650000000
5,3,3,130,350,SHM,Mampang Prapatan,7000000000
2,1,1,26,26,SHM,Pasar Minggu,310000000
2,2,2,60,55,SHM,Mampang Prapatan,790000000
6,4,1,518,300,SHM,Pancoran,25000000000
2,1,1,60,27,SHM,Kebayoran Baru,150500000
2,1,1,86,45,SHM,Cilandak,285000000
3,2,1,300,200,SHM,Pesanggrahan,5300000000
7,4,2,565,300,SHM,Pesanggrahan,7000000000
2,1,1,60,36,SHM,Cilandak,265000000
3,3,2,60,79,SHM,Kebayoran Baru,1170000000
3,3,2,60,55,SHM,Pasar Minggu,800000000
4,4,3,72,125,SHM,Pesanggrahan,1600000000
3,2,2,72,82,SHM,Kebayoran Baru,1300000000
3,2,2,60,75,SHM,Kebayoran Lama,1000000006
4,3,2,74,90,SHM,Cilandak,1260070000
3,3,2,60,80,SHM,Pasar Minggu,900000001
3,2,2,70,84,SHM,Cilandak,1600000000
3,2,2,70,84,SHM,Kebayoran Baru,1600000000
3,2,2,70,84,SHM,Mampang Prapatan,1600000000
2,1,1,60,58,SHM,Cilandak,599000000
3,3,2,84,104,SHM,Kebayoran Baru,1554000000
2,1,0,200,150,SHM,Kebayoran Baru,635000000
6,4,2,1500,500,SHM,Mampang Prapatan,23000000000
3,2,2,70,120,SHM,Pesanggrahan,775000000
7,5,2,820,250,SHM,Cilandak,12650000000
4,4,3,72,126,SHM,Kebayoran Baru,1600000000
2,1,1,84,104,SHM,Cilandak,1554000000
4,4,3,72,126,SHM,Kebayoran Lama,1600000000
4,4,3,72,126,SHM,Pesanggrahan,1600000000
3,3,2,84,104,SHM,Mampang Prapatan,1554000000
4,4,3,72,126,SHM,Cilandak,1600000000
5,4,2,98,150,SHM,Pesanggrahan,1900000000
3,3,1,186,140,SHM,Pesanggrahan,2700000000
3,2,2,73,70,SHM,Pancoran,895000002
3,2,2,60,60,SHM,Pancoran,550000000
4,4,3,72,126,SHM,Mampang Prapatan,1600000000
3,3,2,70,84,SHM,Cilandak,1600000000
3,2,2,72,70,SHM,Mampang Prapatan,875000000
4,4,3,72,126,SHM,Pasar Minggu,1600000000
3,2,2,72,70,SHM,Pesanggrahan,875000000
3,2,2,84,47,SHM,Kebayoran Lama,5000000
2,1,2,42,52,SHM,Cilandak,625000000
3,2,2,60,120,SHM,Kebayoran Baru,650000000
5,4,2,153,250,SHM,Pesanggrahan,2600000000
7,5,2,1460,500,SHM,Pasar Minggu,19000000000
3,2,2,50,100,SHM,Pasar Minggu,1300000000
3,2,1,85,85,SHM,Pasar Minggu,625000000
2,1,1,62,45,SHM,Cilandak,445000000
5,4,2,96,140,SHM,Pesanggrahan,2000000000
4,3,2,182,160,SHM,Cilandak,4650000000
5,4,2,96,140,SHM,Mampang Prapatan,2000000000
2,1,1,72,46,SHM,Kebayoran Baru,715000000
2,1,1,60,27,SHM,Kebayoran Lama,150500611
4,4,2,72,126,SHM,Cilandak,1600000000
4,3,2,84,104,SHM,Mampang Prapatan,1500000000
3,2,2,84,105,SHM,Cilandak,650000000
4,3,2,84,104,SHM,Pesanggrahan,1500000000
3,2,2,65,90,SHM,Mampang Prapatan,1200000004
3,3,2,71,66,SHM,Mampang Prapatan,1200000001
3,2,2,60,74,SHM,Mampang Prapatan,989000000
3,2,3,15,51,SHM,Pancoran,1175000000
4,4,2,100,140,SHM,Cilandak,1299000000
3,3,2,72,140,SHM,Cilandak,1560000000
3,2,2,60,74,SHM,Pesanggrahan,989000000
2,2,2,49,100,SHM,Pasar Minggu,1300000000
2,1,1,62,45,SHM,Kebayoran Baru,445000000
5,5,2,386,495,SHM,Pesanggrahan,6500000000
5,4,2,123,150,SHM,Mampang Prapatan,4000000000
3,3,2,96,131,SHM,Kebayoran Lama,2700000001
5,4,2,123,150,SHM,Pesanggrahan,4000000000
2,1,1,62,45,SHM,Kebayoran Lama,445000000
2,1,1,60,45,SHM,Pancoran,285000000
2,1,1,70,46,SHM,Pesanggrahan,715000000
2,1,1,70,46,SHM,Kebayoran Baru,715000000
3,3,2,71,66,SHM,Kebayoran Lama,1200000001
3,2,2,83,75,SHM,Pasar Minggu,800000010
2,1,1,62,45,SHM,Mampang Prapatan,445000000
3,4,2,234,185,SHM,Pesanggrahan,3800000000
1,3,3,700,600,SHM,Cilandak,29900000000
2,1,1,36,35,Lainnya,Kebayoran Lama,275000000
4,5,2,93,180,SHM,Kebayoran Baru,1800000000
5,4,1,1300,400,SHM,Kebayoran Baru,22000000000
4,4,2,700,400,SHM,Pesanggrahan,11000000000
2,1,1,78,60,SHM,Mampang Prapatan,649000000
2,1,1,62,45,SHM,Pancoran,445000000
2,1,1,78,50,SHM,Pesanggrahan,492000000
2,1,1,78,50,SHM,Kebayoran Baru,492000000
2,1,1,62,45,SHM,Pasar Minggu,445000000
4,4,2,250,225,SHM,Mampang Prapatan,8000000004
2,2,2,60,58,SHM,Mampang Prapatan,600000001
2,1,1,62,45,SHM,Pesanggrahan,445000000
3,2,1,100,75,SHM,Pesanggrahan,1310000000
4,3,2,165,230,SHM,Cilandak,4000000000
2,1,1,45,35,SHM,Pasar Minggu,557500555
4,3,3,94,250,SHM,Pasar Minggu,2500000000
3,3,1,611,485,SHM,Kebayoran Lama,18000000000
3,2,2,72,60,SHM,Cilandak,824000000
3,3,2,80,80,SHM,Pancoran,925000061
7,4,2,180,275,SHM,Pesanggrahan,3300000000
2,1,1,60,36,SHM,Pancoran,476000010
2,2,2,60,72,SHM,Pesanggrahan,994000000
5,5,2,15,180,HGB,Pesanggrahan,4500000000
4,3,2,36,78,SHM,Cilandak,799000000
5,4,2,323,290,SHM,Pasar Minggu,6300000000
4,4,2,144,104,SHM,Pasar Minggu,2450000000
6,2,2,334,220,SHM,Pesanggrahan,5200000000
5,4,1,476,260,SHM,Pesanggrahan,7950000000
6,6,2,500,525,SHM,Kebayoran Baru,34500000000
5,5,2,90,125,SHM,Kebayoran Baru,4358000000
4,5,2,85,190,SHM,Cilandak,3850000000
5,5,1,910,360,SHM,Kebayoran Baru,21000000000
5,4,2,939,600,SHM,Cilandak,9700000000
6,6,3,210,400,SHM,Pasar Minggu,6800000000
7,7,2,1093,800,SHM,Mampang Prapatan,16200000000
4,4,2,160,320,SHM,Kebayoran Baru,7500000000
3,4,2,104,270,SHM,Kebayoran Baru,7500000000
3,5,2,612,485,SHM,Kebayoran Baru,19500000000
3,3,2,96,131,SHM,Pasar Minggu,2700000001
3,3,2,86,144,SHM,Mampang Prapatan,2000000004
10,10,3,300,600,SHM,Mampang Prapatan,18000000000
7,5,2,973,1100,SHM,Mampang Prapatan,24400000000
3,3,2,117,150,SHM,Pesanggrahan,2200000000
3,3,2,88,120,SHM,Pesanggrahan,1950000000
3,3,2,107,162,SHM,Pesanggrahan,2200000000
4,4,2,303,350,SHM,Kebayoran Baru,13000000000
4,5,4,50,135,SHM,Mampang Prapatan,3000000001
3,1,1,65,40,SHM,Pasar Minggu,330000000
2,1,1,60,36,SHM,Mampang Prapatan,300000004
3,3,3,86,133,SHM,Pasar Minggu,1955000000
3,3,2,264,200,SHM,Mampang Prapatan,4870000000
9,5,2,92,180,SHM,Kebayoran Baru,1300000000
3,2,2,89,100,SHM,Kebayoran Baru,950000000
3,2,3,73,56,SHM,Pasar Minggu,855000000
3,3,2,82,68,SHM,Cilandak,700000000
3,2,3,73,56,SHM,Cilandak,855000000
2,1,1,46,46,SHM,Mampang Prapatan,550000000
3,1,1,412,180,SHM,Kebayoran Baru,4800000000
3,3,2,82,68,SHM,Mampang Prapatan,700000000
4,3,2,86,120,SHM,Cilandak,950000000
7,4,2,385,350,SHM,Pesanggrahan,4200000000
3,3,2,82,68,SHM,Pasar Minggu,700000000
4,3,2,135,152,SHM,Kebayoran Baru,3400000000
3,2,2,204,80,SHM,Cilandak,1780000074
3,2,2,80,58,SHM,Mampang Prapatan,1300000001
3,1,1,72,46,SHM,Pancoran,752000000
2,1,1,50,78,SHM,Cilandak,492000000
3,2,2,204,80,SHM,Kebayoran Baru,1780000076
3,2,2,204,80,SHM,Kebayoran Lama,1780000077
3,2,2,100,160,SHM,Kebayoran Lama,1150000000
4,4,2,267,270,SHM,Cilandak,7250000000
3,2,2,204,80,SHM,Mampang Prapatan,1780000078
4,4,2,120,160,SHM,Pasar Minggu,2300000000
4,4,2,139,200,SHM,Cilandak,2200000000
4,4,3,85,185,SHM,Pasar Minggu,2150000000
4,3,2,70,150,SHM,Pasar Minggu,1500000000
6,5,3,124,240,SHM,Pancoran,3500000000
3,2,2,204,80,SHM,Pancoran,1780000079
2,2,1,150,90,SHM,Kebayoran Baru,1500000000
2,2,0,40,80,SHM,Pancoran,500000000
4,3,2,136,183,SHM,Cilandak,4320000000
3,2,2,103,73,SHM,Mampang Prapatan,2000000001
3,2,2,204,80,SHM,Pesanggrahan,1780000081
3,2,1,54,52,SHM,Pancoran,595000077
2,1,1,40,30,SHM,Cilandak,200000000
2,1,1,72,46,SHM,Pesanggrahan,715000000
3,3,3,84,145,SHM,Kebayoran Baru,1795000000
2,1,1,40,30,SHM,Pesanggrahan,200000000
2,1,1,40,30,SHM,Pasar Minggu,200000000
4,4,1,338,195,SHM,Mampang Prapatan,6500000000
3,2,2,60,74,SHM,Kebayoran Baru,989000000
4,4,2,110,140,SHM,Cilandak,2640000000
3,3,2,96,104,SHM,Pesanggrahan,1285000000
3,2,2,84,150,SHM,Cilandak,2800000000
5,5,3,76,177,SHM,Pasar Minggu,3599999990
5,5,3,75,178,SHM,Cilandak,3600000000
2,1,1,40,30,SHM,Mampang Prapatan,200000000
1,1,1,33,33,SHM,Pasar Minggu,205000000
3,3,3,104,180,SHM,Cilandak,3180000000
4,3,2,183,160,SHM,Cilandak,4650000000
3,2,2,120,79,SHM,Cilandak,1600000001
4,4,1,885,450,SHM,Mampang Prapatan,26000000000
3,3,2,83,100,SHM,Pasar Minggu,1300000000
4,4,3,80,140,SHM,Cilandak,1249000671
4,4,2,80,140,SHM,Pasar Minggu,1249000561
4,2,2,74,96,SHM,Pesanggrahan,980000000
2,1,1,40,30,SHM,Pancoran,200000000
3,3,2,60,79,SHM,Mampang Prapatan,1170000000
7,5,1,910,360,SHM,Kebayoran Baru,18000000000
3,2,2,95,105,SHM,Cilandak,1800000000
3,2,3,75,88,SHM,Cilandak,1550000000
3,3,2,60,79,SHM,Cilandak,1170000000
4,4,3,80,140,SHM,Kebayoran Baru,1249008627
3,3,2,60,79,SHM,Pesanggrahan,1170000000
5,2,1,235,180,SHM,Kebayoran Lama,1600000000
4,4,3,80,140,SHM,Mampang Prapatan,1249000733
4,4,3,111,182,SHM,Cilandak,3210000000
4,4,3,111,182,SHM,Kebayoran Baru,3210000000
2,1,1,72,45,SHM,Mampang Prapatan,499000062
4,4,3,111,182,SHM,Kebayoran Lama,3210000000
4,6,2,440,399,SHM,Cilandak,9500000000
2,1,1,72,45,SHM,Kebayoran Baru,499002610
3,2,1,60,36,SHM,Pasar Minggu,335000000
4,4,3,105,180,SHM,Pasar Minggu,3150000000
3,2,2,89,80,SHM,Cilandak,1284000000
5,3,2,240,242,SHM,Pesanggrahan,2800000000
4,4,2,152,125,SHM,Cilandak,3128000000
2,1,1,40,30,SHM,Pasar Minggu,195000000
3,2,2,44,50,SHM,Pesanggrahan,1023000000
3,3,2,102,120,SHM,Kebayoran Baru,1349005661
5,4,2,107,167,SHM,Cilandak,2000000000
3,2,2,60,65,SHM,Kebayoran Baru,800000004
2,1,1,90,36,SHM,Pesanggrahan,875000000
2,1,1,60,38,SHM,Pesanggrahan,475000000
8,5,2,382,500,SHM,Kebayoran Baru,21500000000
4,3,1,212,150,SHM,Kebayoran Baru,8000000000
3,2,1,123,99,SHM,Pesanggrahan,1440000000
6,5,1,1119,400,SHM,Pasar Minggu,9500000000
6,4,3,105,320,SHM,Pasar Minggu,3100000000
5,4,2,135,147,SHM,Pesanggrahan,2700000000
4,4,2,72,150,SHM,Kebayoran Lama,1625000000
2,1,1,78,450,SHM,Pesanggrahan,492000000
3,3,2,60,80,SHM,Pesanggrahan,1170000000
3,3,2,60,80,SHM,Kebayoran Baru,1170000000
4,4,2,72,140,SHM,Pasar Minggu,2150000000
4,4,2,103,207,SHM,Pasar Minggu,4000000000
3,2,2,63,65,SHM,Mampang Prapatan,1300000000
3,3,2,96,131,SHM,Mampang Prapatan,2700000001
3,3,2,136,175,SHM,Pasar Minggu,3300000000
6,2,1,220,180,SHM,Kebayoran Baru,10500000000
5,5,1,268,268,SHM,Pesanggrahan,1800000000
4,3,3,154,300,SHM,Cilandak,3300000000
4,3,2,418,343,SHM,Mampang Prapatan,5750000000
4,2,2,104,160,SHM,Cilandak,2800000000
5,4,2,106,200,SHM,Pesanggrahan,1990000000
3,2,2,73,70,SHM,Pasar Minggu,895000000
2,1,1,60,30,SHM,Pasar Minggu,192000000
3,2,2,72,82,SHM,Pesanggrahan,1300000000
3,2,2,252,138,SHM,Pesanggrahan,8700000000
2,2,1,90,60,SHM,Pasar Minggu,720000000
3,2,2,61,72,SHM,Cilandak,1041000000
5,5,2,133,200,SHM,Cilandak,2460000000
9,5,2,580,562,SHM,Mampang Prapatan,11380000000
3,2,2,55,66,SHM,Kebayoran Lama,500000004
5,3,2,98,150,SHM,Pesanggrahan,1900000000
3,2,2,60,45,SHM,Pesanggrahan,685000000
3,2,2,60,67,SHM,Kebayoran Baru,820000000
3,3,2,84,122,SHM,Pesanggrahan,1300000000
5,3,2,325,400,SHM,Pesanggrahan,6000000000
2,1,1,60,36,SHM,Pesanggrahan,700000000
4,2,2,72,83,SHM,Pasar Minggu,900000000
2,2,2,50,65,SHM,Pasar Minggu,900000000
5,3,2,112,224,HGB,Mampang Prapatan,2700000000
2,3,1,167,160,SHM,Cilandak,1920000000
5,4,3,143,200,SHM,Kebayoran Baru,3700000000
2,2,2,50,65,SHM,Mampang Prapatan,900000000
3,3,2,87,110,SHM,Pasar Minggu,1150000003
3,3,2,87,110,SHM,Pancoran,1150000004
3,3,2,130,106,SHM,Pesanggrahan,1650000000
3,2,2,125,85,SHM,Cilandak,1100000000
3,3,2,92,80,SHM,Pancoran,985000014
3,2,2,60,57,SHM,Cilandak,600000000
3,2,2,60,57,SHM,Kebayoran Baru,600000000
3,2,2,60,57,SHM,Kebayoran Lama,600000000
3,2,2,60,57,SHM,Mampang Prapatan,600000000
3,2,2,125,85,SHM,Kebayoran Baru,1100000000
3,2,2,60,57,SHM,Pancoran,600000000
3,2,2,60,57,SHM,Pasar Minggu,600000000
3,2,2,60,57,SHM,Pesanggrahan,600000000
2,1,1,60,40,SHM,Cilandak,300000000
3,2,2,49,100,SHM,Pasar Minggu,1375000000
3,3,2,170,150,SHM,Kebayoran Lama,1000000000
5,5,2,720,700,SHM,Kebayoran Baru,19000000000
3,2,1,111,95,SHM,Pasar Minggu,1600000000
2,2,1,60,40,SHM,Pasar Minggu,300000000
4,4,3,72,126,SHM,Pancoran,1600000000
3,3,2,87,110,SHM,Kebayoran Baru,900067114
3,2,2,125,85,SHM,Kebayoran Lama,1100000000
3,3,2,90,110,SHM,Pasar Minggu,920004610
3,2,2,125,85,SHM,Mampang Prapatan,1100000000
3,2,2,125,85,SHM,Pancoran,1100000000
3,2,2,125,85,SHM,Pesanggrahan,1100000000
2,1,1,60,55,SHM,Kebayoran Lama,250000000
3,2,1,72,45,SHM,Cilandak,365000000
4,2,2,120,120,SHM,Mampang Prapatan,2000000000
8,8,2,512,650,SHM,Mampang Prapatan,16000000000
8,7,3,550,470,SHM,Pancoran,33000000000
7,4,2,400,500,SHM,Kebayoran Baru,12000000000
4,3,2,105,115,SHM,Pasar Minggu,1400000000
5,3,1,795,450,SHM,Cilandak,16000000000
3,3,1,186,140,SHM,Pesanggrahan,2500000000
4,3,2,151,150,SHM,Cilandak,1500000000
3,3,1,355,280,SHM,Kebayoran Lama,12500000000
4,4,3,200,362,SHM,Kebayoran Baru,16000000000
4,4,3,268,421,SHM,Kebayoran Baru,20000000000
5,2,2,1095,400,SHM,Pasar Minggu,14000000000
4,4,3,238,288,SHM,Kebayoran Baru,6700000000
3,2,2,98,180,Lainnya,Mampang Prapatan,850000000
4,3,2,94,100,SHM,Kebayoran Baru,1500000000
2,1,1,60,45,SHM,Mampang Prapatan,265000000
2,1,1,60,45,SHM,Pancoran,265000000
2,1,1,60,45,SHM,Pasar Minggu,265000000
2,2,2,63,120,SHM,Pesanggrahan,2800000000
4,3,2,150,200,SHM,Pasar Minggu,2900000000
2,1,1,49,49,SHM,Pesanggrahan,575000000
5,3,1,244,200,SHM,Cilandak,5400000000
